movie_id,title,original_language,release_date,runtime
joes+palace+2007,Joe's Palace,en,2007-11-04,108
the+fortune+1975,The Fortune,en,1975-05-20,88
parked+2010,Parked,en,2010-09-01,94
demon+seed+1977,Demon Seed,en,1977-04-07,94
american+vagabond+2013,American Vagabond,en,2013-02-27,85
betrayed+1988,Betrayed,en,1988-08-26,127
keep+the+lights+on+2012,Keep the Lights On,en,2012-02-25,101
pendulum+1969,Pendulum,en,1969-02-17,102
hollywood+canteen+1944,Hollywood Canteen,en,1944-12-31,124
mesmerized+1985,Mesmerized,en,1985-11-18,97
grassroots+2012,Grassroots,en,2012-06-22,98
please+remove+your+shoes+2010,Please Remove Your Shoes,en,2010-07-01,0
see+what+im+saying+the+deaf+entertainers+documentary+2010,See What I'm Saying: The Deaf Entertainers Documentary,en,2010-03-19,91
all+together+2011,All Together,fr,2011-08-12,96
before+your+eyes+2009,Before Your Eyes,de,2009-09-19,102
non-stop+2013,Non-Stop,en,2013-11-29,90
angel+on+my+shoulder+1946,Angel on My Shoulder,en,1946-09-20,100
a+pool+without+water+1982,A Pool Without Water,ja,1982-01-23,103
the+man+in+the+orange+jacket+2015,The Man in the Orange Jacket,lv,2015-02-27,71
the+spanish+main+1945,The Spanish Main,en,1945-10-01,100
the+wise+guys+1965,The Wise Guys,fr,1965-10-22,128
the+land+before+time+xiii+the+wisdom+of+friends+2007,The Land Before Time XIII: The Wisdom of Friends,en,2007-11-27,76
the+wonderful_+horrible+life+of+leni+riefenstahl+1993,"The Wonderful, Horrible Life of Leni Riefenstahl",en,1993-09-11,180
cold+prey+2006,Cold Prey,no,2006-10-13,97
a+modern+coed+1966,A Modern Coed,en,1966-01-01,13
the+emperors+club+2002,The Emperor's Club,en,2002-11-22,108
the+buccaneer+1958,The Buccaneer,en,1958-12-11,119
the+shaggy+dog+2006,The Shaggy Dog,en,2006-03-09,98
zidane+-+a+21st+century+portrait+2006,Zidane - A 21st Century Portrait,en,2006-05-23,90
chris+rock+bring+the+pain+1996,Chris Rock: Bring the Pain,en,1996-06-01,58
swamp+water+1941,Swamp Water,en,1941-10-23,88
the+winter+war+1989,The Winter War,fi,1989-12-30,189
above+the+street_+below+the+water+2009,"Above the Street, Below the Water",da,2009-10-23,85
pola+x+1999,Pola X,fr,1999-05-12,134
gold+diggers+the+secret+of+bear+mountain+1995,Gold Diggers: The Secret of Bear Mountain,en,1995-11-03,94
juarez+1939,Juarez,en,1939-06-10,125
the+apple+dumpling+gang+1975,The Apple Dumpling Gang,en,1975-07-01,100
in+the+army+now+1994,In the Army Now,en,1994-08-12,91
brutal+relax+2010,Brutal Relax,en,2010-01-01,15
beyond+the+forest+1949,Beyond the Forest,en,1949-10-21,97
out+of+life+1991,Out of Life,fr,1991-05-15,97
the+adventures+of+sebastian+cole+1998,The Adventures of Sebastian Cole,en,1998-09-11,99
wicked+city+1987,Wicked City,ja,1987-04-19,82
vito+2011,Vito,en,2011-10-14,93
physical+promise+1975,Physical Promise,ko,1975-07-26,95
the+odd+couple+1979,The Odd Couple,cn,1979-08-09,97
blue+juice+1995,Blue Juice,en,1995-09-15,90
the+inner+circle+1991,The Inner Circle,en,1991-12-25,137
the+bad+news+bears+1976,The Bad News Bears,en,1976-04-07,102
crazy+kind+of+love+2013,Crazy Kind of Love,en,2013-05-31,100
the+end+of+the+affair+1955,The End of the Affair,en,1955-02-23,105
oh_+god+1977,"Oh, God!",en,1977-10-07,98
voodoo+tiger+1952,Voodoo Tiger,en,1952-11-15,67
pitfall+1948,Pitfall,en,1948-06-24,86
pyrates+1991,Pyrates,en,1991-12-18,91
black+sheep+1996,Black Sheep,en,1996-02-01,87
berlin+is+in+germany+2001,Berlin is in Germany,de,2001-11-01,90
bamako+2006,Bamako,bm,2006-06-21,115
mark+of+the+vampire+1935,Mark of the Vampire,en,1935-04-26,60
berlin+express+1948,Berlin Express,en,1948-05-01,87
crossworlds+1996,Crossworlds,en,1996-10-30,90
a+womans+face+1941,A Woman's Face,en,1941-05-09,106
too+tough+to+die+a+tribute+to+johnny+ramone+2006,Too Tough to Die: A Tribute to Johnny Ramone,en,2006-04-26,76
the+care+bears+adventure+in+wonderland+1987,The Care Bears Adventure in Wonderland,en,1987-08-07,75
the+officers+ward+2001,The Officers' Ward,fr,2001-09-26,135
taistelu+nsilinnasta+1918+2012,Taistelu Näsilinnasta 1918,fi,2012-03-23,0
mysterious+mr.+moto+1938,Mysterious Mr. Moto,en,1938-10-14,62
the+happy+poet+2010,The Happy Poet,en,2010-09-17,85
the+rains+came+1939,The Rains Came,en,1939-09-15,104
born+to+dance+1936,Born to Dance,en,1936-11-27,106
get+to+know+your+rabbit+1972,Get to Know Your Rabbit,en,1972-06-01,91
robocop+2014,RoboCop,en,2014-01-30,102
hexed+1993,Hexed,en,1993-01-22,90
circle+of+eight+2009,Circle of Eight,en,2009-10-27,84
tension+1949,Tension,en,1949-11-23,95
the+temptation+of+st.+tony+2009,The Temptation of St. Tony,et,2009-10-10,110
peep+world+2010,Peep World,en,2010-09-15,79
loves+deadly+triangle+the+texas+cadet+murder+1997,Love's Deadly Triangle: The Texas Cadet Murder,en,1997-02-20,93
the+devil+at+4+oclock+1961,The Devil at 4 O'Clock,en,1961-10-18,126
the+body+snatcher+1945,The Body Snatcher,en,1945-05-25,77
the+hiding+place+1975,The Hiding Place,en,1975-05-04,150
whos+your+daddy+2004,Who's Your Daddy?,en,2004-01-07,105
gravehopping+2005,Gravehopping,sl,2005-06-06,103
trench+road+2004,Trench Road,en,2004-11-26,111
a+little+bit+of+heaven+2011,A Little Bit of Heaven,en,2011-02-03,106
a+talking+picture+2003,A Talking Picture,pt,2003-08-31,96
the+deep+six+1958,The Deep Six,en,1958-01-15,105
the+300+spartans+1962,The 300 Spartans,en,1962-08-01,114
hereafter+2010,Hereafter,en,2010-10-15,129
mulberry+street+2006,Mulberry Street,en,2006-05-23,84
generation+war+2013,Generation War,de,2013-03-17,270
another+cinderella+story+2008,Another Cinderella Story,en,2008-09-16,90
naked+souls+1996,Naked Souls,de,1996-05-18,85
a+man+vanishes+1967,A Man Vanishes,ja,1967-07-08,130
the+first+men+in+the+moon+2010,The First Men in the Moon,en,2010-10-19,90
lilting+2014,Lilting,en,2014-08-07,91
a+safe+place+1971,A Safe Place,en,1971-10-01,94
the+dark+lurking+2010,The Dark Lurking,en,2010-01-01,96
the+diary+of+anne+frank+1980,The Diary of Anne Frank,en,1980-11-17,109
provocateur+1995,Provocateur,pl,1995-05-31,88
my+grandfathers+people+2011,My Grandfather's People,en,2011-11-25,123
ayn+rand+a+sense+of+life+1998,Ayn Rand: A Sense of Life,en,1998-02-13,145
six+in+paris+1965,Six in Paris,fr,1965-05-19,95
more+american+graffiti+1979,More American Graffiti,en,1979-08-03,110
razortooth+2007,Razortooth,en,2007-01-01,92
the+fluffer+2001,The Fluffer,en,2001-02-11,95
purple+rain+1984,Purple Rain,en,1984-07-27,111
that+cold+day+in+the+park+1969,That Cold Day in the Park,en,1969-06-08,113
the+monster+1993,The Monster,hi,1993-01-01,132
sumo+do_+sumo+dont+1992,"Sumo Do, Sumo Don't",ja,1992-01-15,105
haywire+2011,Haywire,en,2011-11-06,93
meet+me+in+st.+louis+1944,Meet Me in St. Louis,en,1944-11-23,113
the+shakiest+gun+in+the+west+1968,The Shakiest Gun in the West,en,1968-07-10,101
unforgettable+1996,Unforgettable,en,1996-02-23,106
flamenco+1995,Flamenco,en,1995-06-16,100
our+relations+1936,Our Relations,it,1936-10-30,73
alibi+1929,Alibi,en,1929-04-20,91
battle+of+the+year+2013,Battle of the Year,en,2013-09-21,110
out+california+way+1946,Out California Way,en,1946-12-15,67
not+scared+to+die+1973,Not Scared to Die,cn,1973-01-12,87
needing+you...+2000,Needing You...,cn,2000-06-22,101
bukowski+-+born+into+this+2003,Bukowski - Born into This,en,2003-01-18,138
pal+joey+1957,Pal Joey,en,1957-10-25,111
the+bridges+of+madison+county+1995,The Bridges of Madison County,en,1995-05-28,135
born+to+be+bad+1950,Born to Be Bad,en,1950-09-28,94
combat+girls+2011,Combat Girls,de,2011-06-28,100
birders+the+central+park+effect+2012,Birders: The Central Park Effect,en,2012-07-16,61
four+nights+of+a+dreamer+1971,Four Nights of a Dreamer,fr,1971-01-01,87
house+1986,House,en,1986-02-28,93
terror+in+a+texas+town+1958,Terror in a Texas Town,en,1958-09-01,80
the+dancemaker+1998,The Dancemaker,en,1998-12-01,98
ann+carvers+profession+1933,Ann Carver's Profession,en,1933-06-09,71
